Date,Price,Open,High,Low,Vol.,Change %
01-01-2020,482.77,522.38,524.77,480.58,4.18B,-7.28%
02-01-2020,420.2,484.78,"1,730.00",409.29,3.99B,-12.96%
03-01-2020,305.05,420.87,443.75,260.8,9.99B,-27.40%
04-01-2020,338.61,287.09,354.82,276.8,6.75B,11.00%
05-01-2020,337.62,328.91,362.29,278.04,6.09B,-0.29%
06-01-2020,334.55,339.28,410.08,323.66,7.45B,-0.91%
07-01-2020,336.8,336.5,347.86,312.72,5.84B,0.67%
08-01-2020,345.11,337.89,370.35,333.3,4.32B,2.47%
09-01-2020,326.01,342.75,361.58,309.23,5.40B,-5.53%
10-01-2020,334.87,327.42,355.18,321.33,4.83B,2.72%
11-01-2020,400.36,339.19,418.82,333.6,4.94B,19.56%
12-01-2020,434.58,409.59,435.58,406.26,4.27B,8.55%
01-01-2021,434.03,436.01,491.18,425.46,4.51B,-0.13%
02-01-2021,506.28,437.13,537.29,433.39,3.86B,16.65%
03-01-2021,536.82,516.41,567.32,511.86,5.55B,6.03%
04-01-2021,559.99,535.8,569.07,524.85,4.17B,4.32%
05-01-2021,588.94,565.23,596.29,553.32,3.48B,5.17%
06-01-2021,556.21,594.96,597.78,525.06,4.61B,-5.56%
07-01-2021,537.83,560.03,561.27,514.85,4.16B,-3.30%
08-01-2021,565.61,539.67,582.71,528.48,3.65B,5.17%
09-01-2021,578.54,566.52,596.43,532.62,4.15B,2.29%
10-01-2021,614.56,580.09,628.36,573.81,3.66B,6.23%
11-01-2021,578.1,619.52,628.18,576.64,3.47B,-5.93%
12-01-2021,578.47,587.02,595.18,549.67,4.01B,0.06%
01-01-2022,586.36,584.52,644.66,552.85,5.17B,1.36%
02-01-2022,574.62,587.97,631.18,547.11,4.10B,-2.00%
03-01-2022,534.31,567.45,575.02,511.27,5.80B,-7.02%
04-01-2022,474.12,538.61,540.03,472.85,4.64B,-11.26%
05-01-2022,504.72,476.93,507.91,448.29,4.63B,6.45%
06-01-2022,436.83,506.08,506.82,426.99,4.20B,-13.45%
07-01-2022,467.69,435.74,469.79,416.98,3.51B,7.06%
08-01-2022,459.32,464.55,502.63,458.33,3.17B,-1.79%
09-01-2022,420.24,457.49,486.18,418.68,3.87B,-8.51%
10-01-2022,473.42,425.52,477.18,409.47,4.61B,12.65%
11-01-2022,498.64,477.18,500.96,462.21,3.73B,5.33%
12-01-2022,459.32,498.42,500.44,440.64,4.05B,-7.89%
01-01-2023,498.83,462.39,498.83,458.81,3.85B,8.60%
02-01-2023,492.28,494.37,512.38,482.07,2.97B,-1.31%
03-01-2023,399.07,488.37,493.67,373,11.72B,-18.93%
04-01-2023,409.34,399.6,425.35,384.04,6.11B,2.57%
05-01-2023,390.05,415.13,416.41,368.48,6.68B,-4.71%
06-01-2023,413.09,392.26,421.61,388.29,4.70B,5.91%
07-01-2023,456.98,414.69,462.4,404.19,4.56B,10.62%
08-01-2023,414.64,455.07,455.3,407.44,3.73B,-9.27%
09-01-2023,403.63,416.47,423.23,397.84,3.76B,-2.66%
10-01-2023,386.41,402.82,413.02,373.69,5.10B,-4.27%
11-01-2023,440.69,386.83,441.28,383.53,3.84B,14.05%
12-01-2023,489.79,439.81,493.11,439.25,4.26B,11.14%
01-01-2024,495.71,487.36,508.55,466.35,4.64B,1.21%
02-01-2024,511.9,494.92,512.71,475.12,4.89B,3.27%
03-01-2024,552.77,510.43,553.7,505.09,5.05B,7.98%
04-01-2024,533.7,552.68,554.32,502.99,4.37B,-3.45%
05-01-2024,555.57,536.02,565.92,532.75,3.53B,4.10%
06-01-2024,554.05,556.54,556.85,526.35,3.79B,-0.27%
07-01-2024,590.56,555.3,604.1,554.64,4.39B,6.59%
08-01-2024,602.6,591.07,603.55,520.01,3.71B,2.04%
09-01-2024,580.82,598.65,602.34,548.35,3.63B,-3.61%
10-01-2024,614.94,575.92,627.56,561.39,3.59B,5.87%
11-01-2024,697.45,618.31,704.03,604.55,3.53B,13.42%
12-01-2024,650.29,699.92,700.05,633.9,3.22B,-6.76%
01-01-2025,710.14,653.48,719.24,645.94,3.75B,9.20%
02-01-2025,697.94,698.98,728.96,669.12,3.16B,-1.72%
03-01-2025,638.67,698.57,703.85,598.54,4.62B,-8.49%
04-01-2025,620.5,632.88,643.97,521.55,5.55B,-2.84%
05-01-2025,668.55,618.71,684.17,615.84,3.52B,7.74%
06-01-2025,724.77,665.89,729.45,658.64,3.91B,8.41%
07-01-2025,738.97,723.12,761.58,715.33,5.46B,1.96%
08-01-2025,770.13,725.25,773.94,710.66,4.28B,4.22%
