Date,Price,Open,High,Low,Change %
08-01-2025,"11,625.18","11,514.48","11,836.12","11,240.02",-0.57%
07-01-2025,"11,691.97","11,589.06","12,112.03","11,440.25",0.43%
06-01-2025,"11,641.91","10,538.60","11,666.53","10,486.20",10.12%
05-01-2025,"10,572.22","9,859.80","10,951.96","9,755.61",8.73%
04-01-2025,"9,723.19","9,443.42","9,747.28","7,847.02",2.65%
03-01-2025,"9,472.59","10,565.85","10,589.80","9,206.88",-9.07%
02-01-2025,"10,417.19","10,611.50","11,551.94","10,179.75",-4.10%
01-01-2025,"10,862.95","10,362.81","11,107.02","10,124.75",5.76%
12-01-2024,"10,271.66","10,764.70","11,147.52","10,233.47",-4.21%
11-01-2024,"10,722.71","10,221.80","10,970.27","10,185.48",5.60%
10-01-2024,"10,154.19","10,464.49","10,949.85","10,134.97",-2.77%
09-01-2024,"10,443.26","10,351.05","10,669.01","9,576.46",-0.21%
08-01-2024,"10,465.20","10,251.14","10,601.93","9,019.48",1.13%
07-01-2024,"10,347.99","10,797.39","11,280.51","9,927.04",-4.10%
06-01-2024,"10,790.65","10,226.28","10,940.81","9,986.29",6.61%
05-01-2024,"10,121.72","9,779.79","10,704.39","9,649.80",2.80%
04-01-2024,"9,845.68","10,449.15","10,549.38","9,458.70",-5.51%
03-01-2024,"10,420.33","10,452.33","10,724.92","10,067.28",0.08%
02-01-2024,"10,411.78","9,845.23","10,506.30","9,782.09",6.27%
01-01-2024,"9,797.68","9,446.37","10,236.41","9,066.85",2.19%
12-01-2023,"9,587.92","8,797.75","9,697.09","8,637.88",8.33%
11-01-2023,"8,850.47","7,632.18","8,963.51","7,584.52",16.30%
10-01-2023,"7,610.08","7,955.87","8,341.24","7,484.55",-4.15%
09-01-2023,"7,939.24","8,378.38","8,444.32","7,714.02",-4.62%
08-01-2023,"8,323.50","8,523.77","8,615.05","7,601.80",-3.07%
07-01-2023,"8,587.41","8,056.14","8,616.69","7,795.28",6.69%
06-01-2023,"8,048.89","7,604.73","8,232.25","7,577.05",5.31%
05-01-2023,"7,643.05","6,699.59","7,868.92","6,579.29",13.83%
04-01-2023,"6,714.22","7,065.48","7,089.88","6,493.59",-5.82%
03-01-2023,"7,129.20","6,606.34","7,133.35","6,320.80",8.11%
02-01-2023,"6,594.16","6,507.09","7,060.90","6,489.85",1.69%
01-01-2023,"6,484.28","5,855.06","6,576.98","5,615.79",12.74%
12-01-2022,"5,751.76","6,297.09","6,509.49","5,567.60",-8.01%
11-01-2022,"6,252.48","5,946.55","6,417.52","5,303.27",7.40%
10-01-2022,"5,821.62","5,792.90","6,229.73","5,198.43",1.71%
09-01-2022,"5,723.83","6,378.79","6,772.83","5,721.80",-12.40%
08-01-2022,"6,534.08","6,956.95","7,508.58","6,498.28",-7.09%
07-01-2022,"7,032.79","6,219.61","7,048.23","6,114.24",12.56%
06-01-2022,"6,248.30","7,114.50","7,285.61","6,002.79",-11.28%
05-01-2022,"7,042.38","7,098.80","7,506.89","6,227.87",-0.84%
04-01-2022,"7,102.07","8,367.53","8,498.61","7,067.98",-14.64%
03-01-2022,"8,320.06","8,298.72","8,646.96","7,148.46",0.51%
02-01-2022,"8,277.56","8,587.72","8,858.11","7,467.81",-3.11%
01-01-2022,"8,542.90","9,596.48","9,649.77","7,717.36",-10.78%
12-01-2021,"9,575.39","9,596.55","9,793.42","9,006.86",1.36%
11-01-2021,"9,446.78","9,271.09","9,926.87","9,253.63",1.84%
10-01-2021,"9,276.33","8,647.62","9,307.25","8,360.53",7.78%
09-01-2021,"8,606.64","9,164.67","9,242.88","8,590.01",-5.83%
08-01-2021,"9,139.07","8,938.71","9,266.19","8,585.34",2.85%
07-01-2021,"8,886.17","8,651.65","8,917.47","8,254.98",2.36%
06-01-2021,"8,681.21","8,108.59","8,724.42","7,877.79",7.64%
05-01-2021,"8,064.85","8,169.20","8,170.30","7,434.03",-0.70%
04-01-2021,"8,121.36","8,012.23","8,385.59","8,002.37",3.24%
03-01-2021,"7,866.84","8,033.57","8,187.35","7,176.66",-0.27%
02-01-2021,"7,888.03","7,687.63","8,574.84","7,657.10",4.11%
01-01-2021,"7,576.53","7,589.09","8,040.11","7,375.45",0.47%
12-01-2020,"7,541.05","7,215.94","7,601.33","7,175.51",5.17%
11-01-2020,"7,170.51","6,376.76","7,175.83","6,280.27",13.44%
10-01-2020,"6,320.77","6,487.35","6,907.94","6,270.89",-1.26%
09-01-2020,"6,401.73","6,691.49","6,936.26","6,009.23",-3.75%
08-01-2020,"6,651.30","6,348.79","6,673.99","6,211.55",5.56%
07-01-2020,"6,300.77","5,951.41","6,335.73","5,914.36",5.71%
06-01-2020,"5,960.27","5,585.01","6,000.71","5,528.97",6.06%
05-01-2020,"5,619.86","5,089.35","5,631.15","4,953.79",7.37%
04-01-2020,"5,234.00","4,434.91","5,355.34","4,336.92",13.62%
03-01-2020,"4,606.71","5,189.26","5,382.94","3,905.49",-10.29%
02-01-2020,"5,135.31","5,498.69","5,968.60","4,903.32",-6.18%
01-01-2020,"5,473.45","5,515.02","5,853.47","5,441.01",0.29%
